gene,control_1_poly,control_2_poly,control_3_poly,control_4_poly,treatment_1_poly,treatment_2_poly,treatment_3_poly,treatment_4_poly
simGenes_2441,1152,974,1095,1070,1185,1138,1167,1119
simGenes_2442,4285,4073,5384,3417,5841,4056,4123,4620
simGenes_2443,897,878,1231,1037,993,917,1065,929
simGenes_2444,303,437,333,343,367,346,311,349
simGenes_2445,1470,1752,1794,1994,2111,2185,1814,1782
simGenes_2446,2615,966,2037,1431,1680,2317,1076,2108
simGenes_2447,220,189,180,169,231,145,92,133
simGenes_2448,580,730,425,415,480,630,1085,850
simGenes_2449,1369,1305,1780,1264,1099,1546,1533,967
simGenes_2450,5529,5735,5236,5746,9369,8863,7130,8641
simGenes_2451,1024,1101,898,870,1050,1089,1236,1152
simGenes_2452,504,629,595,503,570,782,621,580
simGenes_2453,1277,1128,1366,1043,1086,1263,1221,1179
simGenes_2454,2488,3601,3416,3024,5573,4837,3217,4783
simGenes_2455,480,495,544,520,492,476,515,500
simGenes_2456,2091,1569,1591,2053,1798,1909,1711,1942
simGenes_2457,129,100,202,252,141,143,162,174
simGenes_2458,79,90,47,50,84,100,45,90
simGenes_2459,1074,831,563,652,1238,2088,1589,1532
simGenes_2460,479,573,606,588,417,640,571,530
simGenes_2461,4556,2593,3407,5042,3693,2954,5184,3310
simGenes_2462,955,1034,1030,990,1313,1381,868,884
simGenes_2463,1830,1975,1895,1861,2292,2306,2135,1575
simGenes_2464,23,48,58,115,22,15,11,3
simGenes_2465,2091,1591,1755,1779,1626,1878,1570,2086
simGenes_2466,3214,3820,2888,3164,5584,3638,3145,3068
simGenes_2467,1021,1079,1237,878,418,348,317,363
simGenes_2468,1551,1727,1530,1258,1377,1989,1042,1073
simGenes_2469,4091,3474,3440,4234,4032,2841,2654,3537
simGenes_2470,1733,1667,1318,1218,1859,1364,1191,1465
simGenes_2471,4869,3331,3684,3457,4077,3896,2664,3506
simGenes_2472,141,252,228,171,273,221,268,223
simGenes_2473,1217,1193,1055,1329,1225,1217,1280,1091
simGenes_2474,3242,2553,1933,2386,1694,1907,2041,2747
simGenes_2475,6483,3458,4868,4200,4951,5409,4038,4393
simGenes_2476,4032,3526,3744,3885,4028,3657,3919,3185
simGenes_2477,618,724,292,414,558,397,337,388
simGenes_2478,92,95,108,91,85,110,86,86
simGenes_2479,2420,2359,2320,2077,2224,2257,2060,2176
simGenes_2480,3552,3024,2454,4221,3964,3103,3354,4692
simGenes_2481,984,1092,902,975,997,1038,1072,1004
simGenes_2482,2030,4100,3378,3567,2740,2139,2424,3410
simGenes_2483,289,435,231,486,515,340,339,368
simGenes_2484,728,763,1526,843,1640,867,1107,795
simGenes_2485,887,1114,855,745,1193,1148,1080,906
simGenes_2486,840,820,1164,477,492,435,753,606
simGenes_2487,448,302,486,756,1234,409,740,857
simGenes_2488,1361,1209,1193,1130,1463,1275,1418,1496
simGenes_2489,311,222,295,156,162,115,262,238
simGenes_2490,3735,2482,4581,4667,3646,3641,4126,4843
simGenes_2491,1314,1677,1512,1287,1233,1208,1097,1650
simGenes_2492,50,76,72,23,144,59,69,46
simGenes_2493,8404,6634,11109,4919,25132,21788,22303,23313
simGenes_2494,1646,1398,1721,2035,1950,1605,1494,2043
simGenes_2495,1194,811,1061,1054,1121,698,1019,1187
simGenes_2496,2878,2717,4721,2943,2650,3101,3179,3930
simGenes_2497,13792,16682,12097,11461,15095,12833,9602,14748
simGenes_2498,4411,4192,3846,3930,5636,4339,3093,3841
simGenes_2499,123,172,193,159,113,127,125,146
simGenes_2500,10614,5640,7336,9092,6746,5815,10186,10974
simGenes_2501,157,141,155,165,131,115,117,87
simGenes_2502,2756,3259,3746,2111,2779,3502,2261,3305
simGenes_2503,352,253,514,308,347,540,419,464
simGenes_2504,14140,15410,10832,12642,14851,13061,14567,14802
simGenes_2505,493,577,390,430,549,509,541,550
simGenes_2506,1990,2671,1604,2116,2228,1464,2645,1415
simGenes_2507,558,401,398,494,482,569,393,659
simGenes_2508,4241,4072,4240,3810,4000,3822,4506,3140
simGenes_2509,538,636,625,556,537,506,569,490
simGenes_2510,1802,1504,1733,1698,1985,1836,1760,1789
simGenes_2511,2013,1117,1634,1271,1210,1530,1852,1433
simGenes_2512,1060,897,1041,1165,1121,1098,1063,1252
simGenes_2513,1269,1252,1080,1124,1851,2462,2756,1913
simGenes_2514,1876,1438,1627,1334,1138,1668,1142,1176
simGenes_2515,3387,3549,3037,1630,3688,4320,4879,2837
simGenes_2516,2349,1226,1603,1327,1957,1113,1288,852
simGenes_2517,1454,1856,1849,1699,1735,1522,1912,1634
simGenes_2518,320,426,461,307,787,769,955,930
simGenes_2519,887,769,1366,774,853,725,1279,916
simGenes_2520,1243,1341,1322,1249,1364,1387,1321,1372
simGenes_2521,2596,2419,2813,2778,2692,2801,2826,3121
simGenes_2522,10665,10769,11069,11327,10921,11075,11784,10431
simGenes_2523,6297,6773,5901,5978,6855,7016,6585,6464
simGenes_2524,1487,1462,1496,1329,2745,2999,1813,3280
simGenes_2525,102,102,99,75,101,127,116,102
simGenes_2526,1017,1899,1621,2522,2270,1250,1845,1576
simGenes_2527,2280,2278,1782,2033,1609,2190,1452,1785
simGenes_2528,685,1326,1942,1125,535,602,439,970
simGenes_2529,720,654,745,773,602,684,699,748
simGenes_2530,394,395,370,323,383,367,426,395
simGenes_2531,769,690,506,662,594,522,686,614
simGenes_2532,2247,2284,2246,2304,2404,2258,2503,2330
simGenes_2533,11801,13052,18334,16931,5483,11093,6398,7655
simGenes_2534,1532,1897,1448,1481,2645,1549,1419,1900
simGenes_2535,620,464,780,701,573,477,643,763
simGenes_2536,2526,2736,2547,2451,2678,2602,2474,2394
simGenes_2537,354,288,318,434,339,294,298,326
simGenes_2538,3502,1893,2342,2533,3271,2208,3571,3342
simGenes_2539,315,286,303,268,145,83,94,230
simGenes_2540,3160,4385,3084,3707,1550,1312,1314,2145
simGenes_2541,281,293,349,258,212,326,320,206
simGenes_2542,1038,1001,908,671,1178,1375,810,676
simGenes_2543,1887,1971,1570,1624,1869,616,908,1835
simGenes_2544,961,1346,1177,639,1129,1199,1345,984
simGenes_2545,12523,14153,14780,13767,13323,14519,13423,12812
simGenes_2546,3702,3486,3693,3568,3743,3451,3428,4216
simGenes_2547,307,493,472,389,463,397,520,451
simGenes_2548,290,257,328,309,312,329,272,315
simGenes_2549,347,348,435,404,349,313,445,350
simGenes_2550,373,432,470,286,333,412,342,207
simGenes_2551,4795,4010,4844,4501,4070,4667,4187,4665
simGenes_2552,330,329,310,373,359,341,383,341
simGenes_2553,459,507,356,522,524,437,620,401
simGenes_2554,10802,10529,11078,10934,10542,10557,10816,11296
simGenes_2555,2025,2115,2230,2275,1731,1574,2075,1882
simGenes_2556,95,81,112,86,197,188,175,199
simGenes_2557,5297,4524,4284,4544,4769,4347,4825,4071
simGenes_2558,3863,4683,4816,4668,3985,4827,4672,4094
simGenes_2559,710,807,867,841,1547,1729,1396,1621
simGenes_2560,3834,4477,4558,3906,3029,4602,3367,4097
simGenes_2561,853,960,776,1071,465,1307,646,1635
simGenes_2562,1894,1159,1719,1963,2143,1661,1788,1102
simGenes_2563,2913,1112,1786,2383,2623,2292,2529,1832
simGenes_2564,9773,9174,10313,9250,10818,10868,9990,10903
simGenes_2565,1323,1385,1247,1800,602,502,434,478
simGenes_2566,705,850,966,688,350,359,490,507
simGenes_2567,7352,9039,9894,8143,14857,13800,15825,14590
simGenes_2568,101,155,115,86,96,128,101,101
simGenes_2569,2212,2371,2533,2436,2522,2200,2201,2304
simGenes_2570,13618,14368,13208,13852,14299,13587,13915,14354
simGenes_2571,2283,1467,2498,2070,2082,1444,1928,1592
simGenes_2572,3559,5778,4711,4243,3529,4843,3606,2937
simGenes_2573,3303,2541,3656,3909,1997,1048,1119,1191
simGenes_2574,2957,2917,4139,3681,3209,3357,3235,2869
simGenes_2575,1234,1211,1238,1192,1146,1122,1332,1247
simGenes_2576,4145,4850,4786,4344,5057,6378,4715,3610
simGenes_2577,1743,2111,1514,1492,1705,1930,1895,2156
simGenes_2578,4199,4960,4139,5193,3996,4132,4087,4355
simGenes_2579,5526,5578,4219,5191,5606,5584,5710,3999
simGenes_2580,258,339,268,282,240,195,272,202
simGenes_2581,511,438,531,531,554,528,519,437
simGenes_2582,933,894,838,884,904,863,949,770
simGenes_2583,1806,2090,1713,1836,2091,1441,1844,1558
simGenes_2584,1083,1078,1133,1020,1080,1042,1192,1181
simGenes_2585,1213,1028,979,1405,1195,1077,1230,1313
simGenes_2586,5457,5127,5321,5391,5212,5208,5497,5589
simGenes_2587,747,680,715,833,564,952,403,653
simGenes_2588,73,114,88,115,108,125,88,101
simGenes_2589,1246,1023,974,1068,1540,1452,714,1428
simGenes_2590,536,441,506,764,540,592,443,478
simGenes_2591,1377,1917,1455,999,1758,3058,1874,1656
simGenes_2592,22141,30589,30983,29973,26386,36780,26834,30774
simGenes_2593,37094,45463,53397,41057,47814,51110,39684,51721
simGenes_2594,27773,27481,35226,37134,31804,32008,29377,30769
simGenes_2595,318,233,287,400,291,299,365,403
simGenes_2596,982,988,956,1080,907,954,810,1008
simGenes_2597,421,321,189,367,545,55,416,193
simGenes_2598,545,492,554,558,565,567,576,547
simGenes_2599,1294,1341,1420,1313,1459,1384,1399,1510
simGenes_2600,834,812,967,1049,1422,1321,1358,1126
simGenes_2601,2472,1699,2378,2076,2040,2208,2337,2609
simGenes_2602,314,279,201,335,326,334,392,439
simGenes_2603,2043,2842,2439,2643,2008,2708,3087,3071
simGenes_2604,90,195,143,248,217,248,166,164
simGenes_2605,281,346,459,293,598,430,557,387
simGenes_2606,3769,4070,3885,3716,3759,4442,3204,3405
simGenes_2607,411,570,576,1073,829,782,1106,739
simGenes_2608,1463,1413,1546,1410,1827,1951,1668,1505
simGenes_2609,8738,8933,9806,8922,9400,8733,8875,9270
simGenes_2610,242,287,294,285,39,116,74,145
simGenes_2611,687,698,522,993,935,1227,1598,1285
simGenes_2612,910,806,944,967,906,932,851,873
simGenes_2613,7489,7558,7308,9015,2735,2851,2513,2624
simGenes_2614,269,566,608,582,270,241,323,284
simGenes_2615,126,160,167,156,170,176,153,115
simGenes_2616,263,230,172,255,142,230,209,188
simGenes_2617,695,592,756,624,744,825,564,742
simGenes_2618,406,602,438,584,533,411,250,665
simGenes_2619,3288,2744,3620,2454,3165,3990,2503,3998
simGenes_2620,522,835,739,601,609,1027,718,509
simGenes_2621,4391,4067,4284,4465,4125,3995,3936,4177
simGenes_2622,5644,5269,7272,5283,4891,5112,5954,6221
simGenes_2623,583,450,381,477,385,378,546,378
simGenes_2624,1961,2086,2023,2023,2214,1172,1600,1729
simGenes_2625,330,208,337,436,237,234,245,400
simGenes_2626,1281,1296,2283,1539,855,1095,1581,1264
simGenes_2627,172,188,150,166,176,92,129,162
simGenes_2628,3185,3246,2997,1884,2537,3568,3501,3045
simGenes_2629,471,756,334,910,201,209,215,238
simGenes_2630,1719,2226,1688,1512,2104,1691,1307,1501
simGenes_2631,1648,1613,1216,1125,1016,878,1307,1100
simGenes_2632,45684,39837,39296,33443,42905,34865,20603,34291
simGenes_2633,1354,1584,1029,1605,1221,1442,1346,1515
simGenes_2634,76,61,252,106,160,90,100,229
simGenes_2635,377,427,506,387,462,304,496,366
simGenes_2636,1515,1566,1830,1507,727,780,693,739
simGenes_2637,7281,7053,6918,7070,7086,7004,6928,7027
simGenes_2638,6710,4015,4894,4658,5295,7056,6339,3896
simGenes_2639,126,129,176,162,129,198,119,114
simGenes_2640,899,919,561,670,591,779,421,1060
simGenes_2641,200,235,214,200,202,204,199,239
simGenes_2642,1314,1179,1115,1384,1250,1135,1303,1170
simGenes_2643,2975,4024,3480,2771,2940,3173,3858,3085
simGenes_2644,2317,2117,1959,2469,1921,2487,2239,2540
simGenes_2645,8446,11940,13060,14067,13535,9867,10220,10993
simGenes_2646,731,1211,857,987,868,1053,1357,1069
simGenes_2647,2144,2228,3135,2677,2882,2812,2602,2523
simGenes_2648,1066,961,705,831,514,620,677,594
simGenes_2649,14258,13643,14228,13302,13120,14032,13923,14300
simGenes_2650,1910,2513,1769,2620,1693,2012,2020,2465
simGenes_2651,1364,1609,1038,960,1707,1402,1234,1348
simGenes_2652,531,801,642,947,768,585,501,824
simGenes_2653,851,837,892,526,1101,676,770,1130
simGenes_2654,1018,820,1134,941,1134,1007,1662,829
simGenes_2655,710,745,831,840,726,754,834,947
simGenes_2656,3122,3242,3152,3336,3825,2942,3255,3645
simGenes_2657,3540,3756,3325,3591,3501,3247,3823,3470
simGenes_2658,460,540,339,704,686,589,822,714
simGenes_2659,850,827,852,836,990,770,939,921
simGenes_2660,3718,2436,2758,2184,1546,1350,1329,1392
simGenes_2661,1074,1088,1468,979,1111,1005,984,920
simGenes_2662,270,160,165,126,176,170,150,144
simGenes_2663,1898,1290,1984,2318,1689,1382,1848,2159
simGenes_2664,1686,2147,1939,2018,1833,1904,2033,1989
simGenes_2665,175,193,258,383,142,130,104,131
simGenes_2666,241,316,227,246,275,244,255,335
simGenes_2667,5241,6001,4987,4812,6513,6968,5230,5717
simGenes_2668,11497,16747,12007,12981,15643,14277,10987,17931
simGenes_2669,3322,2712,2401,3464,2667,3113,2875,3167
simGenes_2670,7486,10192,10221,10592,7711,8899,9104,8842
simGenes_2671,1533,2502,2169,2457,2215,2562,2102,2856
simGenes_2672,1762,2138,1887,1935,1626,1919,1597,1713
simGenes_2673,796,1258,969,619,1204,1139,1098,1121
simGenes_2674,359,214,300,281,390,255,336,352
simGenes_2675,7416,9036,7712,6330,8174,6593,5706,8241
simGenes_2676,2149,1983,1736,2017,5227,4098,4898,4726
simGenes_2677,2790,2021,2719,3048,2533,2768,3067,2455
simGenes_2678,1063,968,1001,1169,1091,973,1053,1089
simGenes_2679,127,54,97,93,153,122,107,99
simGenes_2680,4042,4739,4955,4298,5086,4278,4503,3847
simGenes_2681,2339,1726,1620,1708,1767,1413,1469,2567
simGenes_2682,2067,1917,2059,1935,1956,1898,2005,1930
simGenes_2683,4384,5606,4343,5401,5121,5564,5096,5332
simGenes_2684,45,26,55,72,40,50,35,84
simGenes_2685,1933,1842,1745,2119,1558,1890,1730,2041
simGenes_2686,1322,1517,1432,1183,917,1220,1713,1581
simGenes_2687,1839,2483,2291,2055,2586,2042,2593,2146
simGenes_2688,612,680,671,304,498,601,867,907
simGenes_2689,5417,6223,4301,6063,5333,5256,4681,4971
simGenes_2690,2994,2627,3174,3882,3318,3855,3583,2721
simGenes_2691,52,89,125,198,70,204,103,131
simGenes_2692,456,440,570,617,754,607,607,669
simGenes_2693,3943,3081,3171,2645,2888,3407,3379,3209
simGenes_2694,451,398,473,305,516,447,395,292
simGenes_2695,811,752,589,522,906,1173,1187,1148
simGenes_2696,334,359,334,372,294,352,335,369
simGenes_2697,117,122,120,84,119,107,172,130
simGenes_2698,12710,13810,11860,12032,12810,11885,10584,13197
simGenes_2699,5984,3891,2163,2636,5739,4616,3024,3477
simGenes_2700,438,466,384,304,378,344,476,396
simGenes_2701,1232,1197,1647,1372,1391,1466,1450,1440
simGenes_2702,404,537,256,619,431,510,300,317
simGenes_2703,704,935,531,419,543,1155,658,892
simGenes_2704,1834,1902,1736,1775,1984,2015,1487,1712
simGenes_2705,776,1361,1296,1585,1205,2089,1446,1159
simGenes_2706,839,798,837,914,867,802,889,811
simGenes_2707,443,383,329,475,341,581,500,499
simGenes_2708,790,781,831,822,338,239,313,308
simGenes_2709,2210,2033,1733,1919,2171,2193,2080,1779
simGenes_2710,2408,2491,2900,2907,3156,3518,2466,2243
simGenes_2711,1316,1312,1540,1481,1502,1429,1418,1260
simGenes_2712,1218,1389,1182,1268,1293,1254,1446,1389
simGenes_2713,316,459,360,302,413,345,387,369
simGenes_2714,764,774,766,736,775,676,751,714
simGenes_2715,64,92,46,87,78,65,70,70
simGenes_2716,3111,2684,2544,2647,2541,2988,2825,2805
simGenes_2717,1351,1790,1648,1719,1693,1929,1935,1799
simGenes_2718,995,995,992,944,2714,3121,2214,2701
simGenes_2719,345,185,188,292,280,268,230,209
simGenes_2720,108,145,188,162,111,260,221,197
simGenes_2721,4054,4605,3436,4256,3236,3212,3265,4671
simGenes_2722,12511,13366,12789,13141,11869,12409,13280,13162
simGenes_2723,12859,11872,13238,14110,16600,10817,10128,13481
simGenes_2724,909,555,542,500,185,251,271,377
simGenes_2725,6861,6010,5220,5712,6823,6899,5611,5999
simGenes_2726,118,143,168,96,113,63,100,114
simGenes_2727,483,465,510,486,464,453,483,493
simGenes_2728,1683,1608,1273,1499,1878,1442,1603,1341
simGenes_2729,672,477,592,708,597,467,656,633
simGenes_2730,3574,3778,3821,3897,3795,3776,4123,3369
simGenes_2731,1584,1452,1393,1703,1558,1781,1463,1849
simGenes_2732,17462,18558,17485,20638,16515,15473,17153,19226
simGenes_2733,437,572,607,446,446,594,440,488
simGenes_2734,2063,2533,3307,2537,2818,2727,2320,3052
simGenes_2735,6767,7763,7760,6132,6777,7487,7952,7898
simGenes_2736,3481,5919,3313,3885,5763,4528,3950,4694
simGenes_2737,1233,1411,1449,1386,1286,1049,1559,1399
simGenes_2738,1374,1644,1132,1217,1270,1244,1256,1211
simGenes_2739,1523,1671,1610,1244,1122,1086,1327,1453
simGenes_2740,3124,3002,2831,2896,2794,2712,2971,3167
simGenes_2741,3025,3474,4146,3501,3784,4195,3833,4011
simGenes_2742,1504,2728,1605,1945,2236,1477,1716,2155
simGenes_2743,1656,1695,1703,1538,3822,3463,3703,3491
simGenes_2744,357,296,253,437,309,497,301,273
simGenes_2745,277,239,346,192,421,199,214,254
simGenes_2746,2065,1592,1695,2246,2509,1333,2123,2205
simGenes_2747,646,546,661,580,592,541,532,573
simGenes_2748,286,414,296,244,353,122,458,386
simGenes_2749,1897,1724,2673,2407,3664,1854,2792,2706
simGenes_2750,3197,3384,2830,3283,3400,3689,3126,3786
simGenes_2751,2193,1891,2039,2672,2162,2564,1435,2185
simGenes_2752,798,957,941,962,822,823,851,1067
simGenes_2753,3843,2869,3361,2260,2570,2562,1773,2040
simGenes_2754,5201,5474,6682,3636,3154,4766,6230,3812
simGenes_2755,21600,27021,23815,22534,21347,23710,25130,25534
simGenes_2756,7477,7401,7133,5539,6330,5243,5360,6687
simGenes_2757,974,946,970,971,990,923,838,756
simGenes_2758,954,611,705,995,644,802,468,856
simGenes_2759,78,63,61,95,84,43,58,54
simGenes_2760,17637,16207,15032,19028,16111,15937,12282,11613
simGenes_2761,6866,5947,6090,7432,6741,6732,6653,6888
simGenes_2762,1755,1600,1713,1839,1544,1249,1673,1542
simGenes_2763,155,156,168,130,88,110,129,66
simGenes_2764,1676,1104,1807,1313,741,2972,1276,1920
simGenes_2765,2692,2052,2262,2279,4548,3766,1797,2259
simGenes_2766,212,264,214,298,261,259,272,267
simGenes_2767,5736,6097,6217,6113,6075,6320,5747,7304
simGenes_2768,5126,4923,5110,4944,5122,5219,5248,4829
simGenes_2769,782,534,882,1242,504,859,953,769
simGenes_2770,237,312,348,163,342,336,293,292
simGenes_2771,929,482,699,603,1037,632,520,671
simGenes_2772,239,374,288,220,111,126,80,139
simGenes_2773,3919,2585,4389,2245,3702,3107,3702,2935
simGenes_2774,235,219,210,253,241,237,214,160
simGenes_2775,706,721,638,745,561,630,543,586
simGenes_2776,309,346,252,460,297,379,267,399
simGenes_2777,9331,9114,9504,9830,9471,9031,10070,9790
simGenes_2778,960,1116,1094,811,821,998,1269,741
simGenes_2779,362,576,382,405,302,424,530,356
simGenes_2780,1249,1448,1343,1417,1389,1486,1298,1355
simGenes_2781,11741,11866,12073,11187,7118,6588,6678,6498
simGenes_2782,1231,1043,1035,1195,1153,1134,889,1072
simGenes_2783,570,469,580,561,428,827,642,684
simGenes_2784,1990,1673,1481,1785,1645,1504,1332,930
simGenes_2785,503,734,367,567,689,352,552,462
simGenes_2786,10933,11806,11468,11152,12250,10463,12465,10553
simGenes_2787,5772,4977,7415,7033,6333,6174,6346,7598
simGenes_2788,832,1459,1256,1179,876,1114,1490,1081
simGenes_2789,797,1100,1007,1287,960,928,940,1198
simGenes_2790,394,247,240,236,90,76,109,86
simGenes_2791,1748,1853,1644,1378,1465,1444,1419,1705
simGenes_2792,138,103,98,110,106,167,82,79
simGenes_2793,1989,2038,2284,1895,1487,1330,1495,1524
simGenes_2794,4122,3554,4062,3808,4296,4079,3531,3334
simGenes_2795,2357,1790,1697,1309,2560,2117,2003,1576
simGenes_2796,4220,4902,4291,3591,3297,3871,3938,4565
simGenes_2797,3191,3855,3103,3021,3277,4301,4047,3306
simGenes_2798,288,276,302,267,283,216,233,238
simGenes_2799,2222,1843,1426,1009,1988,1487,1929,1120
simGenes_2800,3169,3199,3323,3005,3054,3975,3449,3166
simGenes_2801,422,334,409,401,224,324,638,541
simGenes_2802,3456,3428,3144,3721,4418,3416,4605,4144
simGenes_2803,598,510,526,555,525,494,380,635
simGenes_2804,11342,9582,10509,12389,10243,11250,11260,11015
simGenes_2805,3254,3382,3139,3407,3230,2866,3185,3046
simGenes_2806,31,61,82,75,202,82,61,63
simGenes_2807,3520,4286,4516,4184,4771,3814,3592,3336
simGenes_2808,10874,13237,10103,12786,9211,11451,11479,12275
simGenes_2809,62,58,59,74,53,51,63,54
simGenes_2810,16873,17946,23044,18747,20000,16828,20271,18557
simGenes_2811,414,353,364,432,300,402,357,337
simGenes_2812,2627,2305,2271,2471,2319,2072,2794,1808
simGenes_2813,1407,1419,1476,1494,1462,1518,1475,1449
simGenes_2814,181,151,123,170,167,120,154,119
simGenes_2815,1666,1566,1638,1540,1695,1437,1591,1539
simGenes_2816,7205,6523,6038,5060,5744,7076,6572,6282
simGenes_2817,194,137,167,191,140,158,180,190
simGenes_2818,9942,10785,10754,12691,10636,9644,12944,13141
simGenes_2819,992,970,1353,736,713,852,885,631
simGenes_2820,10658,11844,11325,9634,11021,9426,10971,9478
simGenes_2821,108,95,71,86,43,70,76,56
simGenes_2822,785,891,875,917,897,808,653,863
simGenes_2823,594,524,611,605,591,659,608,674
simGenes_2824,1141,1257,813,1348,1422,1250,1338,1205
simGenes_2825,359,306,430,455,345,254,407,475
simGenes_2826,204,138,242,374,237,340,319,190
simGenes_2827,183,111,201,197,38,72,77,87
simGenes_2828,108,90,149,171,62,248,172,166
simGenes_2829,4791,4737,4776,3586,4062,4059,4060,5476
simGenes_2830,119,166,188,125,190,143,139,161
simGenes_2831,1285,2012,1594,1307,1032,782,1318,1045
simGenes_2832,1123,1183,1177,1092,1115,1078,1095,1123
simGenes_2833,1255,1008,2902,1277,2054,1794,1012,2445
simGenes_2834,888,732,1077,826,2011,2648,2229,2277
simGenes_2835,653,848,906,604,165,188,277,378
simGenes_2836,2423,2176,1598,2008,5491,5017,4799,3523
simGenes_2837,122,126,125,250,141,131,210,226
simGenes_2838,1400,1511,1363,1343,1635,1244,1212,1231
simGenes_2839,1063,1150,1282,1629,1349,1446,1303,1506
simGenes_2840,1458,1603,1994,1504,1186,1751,1144,2015
simGenes_2841,601,495,719,579,404,242,209,212
simGenes_2842,500,829,625,473,663,1061,400,611
simGenes_2843,562,701,565,746,634,569,676,725
simGenes_2844,883,941,999,823,1084,860,474,779
simGenes_2845,226,174,162,305,212,215,174,62
simGenes_2846,7039,9698,7966,6981,7497,8921,4805,10447
simGenes_2847,583,708,788,758,704,708,553,645
simGenes_2848,1381,1321,1221,1370,1348,1338,2385,1617
simGenes_2849,1767,1858,1526,2009,1798,2379,1872,1485
simGenes_2850,667,880,908,768,667,816,598,584
simGenes_2851,3023,2545,2703,2900,2474,2852,2788,2880
simGenes_2852,1540,1001,1580,865,1306,1733,1176,1113
simGenes_2853,11189,11342,9292,9770,12952,9097,6549,4867
simGenes_2854,81,205,108,149,91,91,83,146
simGenes_2855,359,362,246,330,500,465,231,486
simGenes_2856,610,647,604,656,586,537,574,550
simGenes_2857,405,440,398,431,417,381,420,510
simGenes_2858,279,291,238,249,228,251,239,323
simGenes_2859,235,149,183,197,64,31,102,66
simGenes_2860,1469,2074,800,1615,2463,3406,2955,3131
simGenes_2861,143,154,106,126,84,71,72,98
simGenes_2862,1160,1024,1309,567,1009,750,684,1478
simGenes_2863,141,154,246,206,262,216,242,353
simGenes_2864,15680,9959,10251,15763,14264,10628,9795,13245
simGenes_2865,492,392,428,417,429,499,476,339
simGenes_2866,3544,3847,3606,3761,3640,3669,3607,3691
simGenes_2867,305,205,212,339,251,325,268,277
simGenes_2868,98,237,198,162,202,146,112,293
simGenes_2869,4692,4429,5504,4221,6478,7758,9307,10358
simGenes_2870,937,745,958,436,479,265,710,577
simGenes_2871,24018,18076,18557,21292,16020,21607,17047,22188
simGenes_2872,408,398,349,431,330,370,384,409
simGenes_2873,908,1394,1558,2528,1658,1410,1728,1414
simGenes_2874,2077,1003,1532,920,499,810,1533,1020
simGenes_2875,992,1639,1007,888,1596,982,1143,931
simGenes_2876,2290,2330,2265,2269,2419,2265,2388,2488
simGenes_2877,122,147,112,145,19,59,33,60
simGenes_2878,476,371,372,317,269,403,398,476
simGenes_2879,425,322,361,267,489,559,459,275
simGenes_2880,3147,3737,3385,3355,3329,4475,3793,3743
simGenes_2881,7022,3426,7320,2872,5049,2546,6637,6632
simGenes_2882,1596,2118,1674,2077,1776,2058,1990,2160
simGenes_2883,333,618,556,703,305,150,265,517
simGenes_2884,2081,2280,2165,1674,5802,6042,5366,5636
simGenes_2885,1862,894,1353,1290,1101,1617,671,716
simGenes_2886,765,625,388,305,746,374,589,643
simGenes_2887,76,54,24,40,47,28,15,50
simGenes_2888,3474,3247,3619,2616,2932,2790,3072,3891
simGenes_2889,746,743,1040,773,822,973,856,760
simGenes_2890,3139,3231,2649,2382,2899,3242,3062,3122
simGenes_2891,476,344,564,510,471,657,819,613
simGenes_2892,6561,6365,6503,6472,6077,6934,6396,6634
simGenes_2893,660,737,794,675,574,665,693,626
simGenes_2894,2130,1564,1836,1774,1412,1478,1557,1515
simGenes_2895,2401,2301,2374,2460,2351,2403,2213,2245
simGenes_2896,3304,2581,3278,2754,2894,2856,2819,2764
simGenes_2897,168,253,230,175,206,215,209,257
simGenes_2898,145,142,125,120,140,128,114,190
simGenes_2899,86,83,112,107,88,70,87,51
simGenes_2900,2634,1755,3224,4036,2535,2845,2967,2927
simGenes_2901,550,693,608,570,524,591,601,615
simGenes_2902,1188,842,1331,1404,1231,1193,1089,1003
simGenes_2903,142,167,167,154,111,188,144,156
simGenes_2904,4563,4488,4549,4327,4443,4370,4404,4575
simGenes_2905,1020,1116,985,926,976,988,1141,1032
simGenes_2906,329,343,256,378,441,490,463,212
simGenes_2907,476,752,596,766,1010,855,791,725
simGenes_2908,12542,14619,15394,14491,12243,12279,16854,11568
simGenes_2909,81616,25369,117976,92936,23384,33330,28698,28752
simGenes_2910,3828,4491,4051,4778,5708,4590,4758,4288
simGenes_2911,733,564,531,534,776,673,567,571
simGenes_2912,1694,1552,2150,1750,1684,1568,2483,1102
simGenes_2913,1552,1484,1480,1449,1244,1445,1255,1373
simGenes_2914,2556,1799,1950,2390,2359,1642,1426,2420
simGenes_2915,1349,1195,1135,1071,1211,1472,1251,1412
simGenes_2916,1264,983,1123,1687,1314,1273,939,1242
simGenes_2917,996,872,1031,775,1052,1002,984,1142
simGenes_2918,16395,13893,16011,15429,15759,17062,15823,16953
simGenes_2919,1522,1264,1169,1244,1670,1291,1263,1341
simGenes_2920,5590,6504,6287,5687,7361,6869,6427,6102
simGenes_2921,1272,1098,892,1420,2875,3595,3468,3698
simGenes_2922,1520,1712,1158,1085,1087,1505,1938,1103
simGenes_2923,253,258,321,321,354,252,274,279
simGenes_2924,3106,2987,3145,3418,3330,3130,3736,3337
simGenes_2925,859,763,805,870,971,858,934,1022
simGenes_2926,3118,3025,2945,2919,847,1044,1122,943
