gene,control_1_cyto,control_2_cyto,control_3_cyto,control_4_cyto,treatment_1_cyto,treatment_2_cyto,treatment_3_cyto,treatment_4_cyto
simGenes_1917,395,203,228,307,152,384,196,252
simGenes_1918,1067,1003,930,1339,1203,868,812,830
simGenes_1919,198,202,225,190,213,192,199,199
simGenes_1920,138,201,171,229,166,178,242,193
simGenes_1921,3953,7207,8247,3092,3575,4772,3866,3867
simGenes_1922,1087,1129,1254,1293,1018,1270,975,1145
simGenes_1923,998,694,837,871,764,893,1721,903
simGenes_1924,2988,2662,3136,3169,2959,2746,2492,2656
simGenes_1925,6937,5932,4206,4628,4997,6344,6495,4967
simGenes_1926,65,112,62,116,111,100,98,49
simGenes_1927,1234,1227,1119,1061,1695,1329,1186,1135
simGenes_1928,1618,1500,1954,1705,1945,1751,1887,1469
simGenes_1929,4963,4929,4447,4586,4555,4680,4904,4867
simGenes_1930,1828,2381,1892,2079,831,920,976,778
simGenes_1931,4611,5642,4076,4872,4931,4744,5423,4337
simGenes_1932,335,320,505,540,460,456,343,391
simGenes_1933,2693,1088,2319,469,1659,2003,1864,723
simGenes_1934,3212,3121,3502,3310,3326,3455,3678,3078
simGenes_1935,3311,4077,5082,1605,2524,2293,3297,6019
simGenes_1936,7522,6865,7769,7753,7318,7960,8062,7340
simGenes_1937,403,499,2328,1382,1389,442,1088,1568
simGenes_1938,10398,10548,9935,11317,11116,9655,9651,10074
simGenes_1939,1843,1139,1111,1412,1788,1208,1094,1431
simGenes_1940,1758,1579,1600,1517,2049,1945,1531,1687
simGenes_1941,298,358,469,328,239,366,349,413
simGenes_1942,1490,1361,1705,1302,1449,1314,1625,1952
simGenes_1943,2529,2504,2723,2557,2489,2880,2750,2926
simGenes_1944,1925,2173,1951,2105,1944,2123,1933,1901
simGenes_1945,3114,3087,3310,3235,2983,3421,3120,3056
simGenes_1946,464,435,537,377,344,780,302,732
simGenes_1947,6482,5308,7047,3906,7364,6985,6344,6349
simGenes_1948,1473,1616,1359,1280,3479,3551,3600,3647
simGenes_1949,1019,1186,1430,1430,1327,1165,1468,1353
simGenes_1950,2461,1896,2478,2455,1562,1427,1693,2050
simGenes_1951,1002,855,1000,863,977,991,944,842
simGenes_1952,5169,7234,6098,6962,4796,5898,6661,10518
simGenes_1953,3360,3342,3609,2963,2820,3259,3819,3044
simGenes_1954,6884,8211,7995,9769,8314,7545,6474,8166
simGenes_1955,937,753,811,936,816,868,942,1085
simGenes_1956,6562,4980,7346,4798,6674,5753,5243,5686
simGenes_1957,6208,5736,6929,6630,2656,3040,2918,2592
simGenes_1958,16030,15607,16120,16708,15531,16153,16009,15166
simGenes_1959,4450,5672,4978,4186,5242,5126,4050,5265
simGenes_1960,296,266,193,136,206,188,249,184
simGenes_1961,1202,555,1132,1396,1040,757,708,642
simGenes_1962,725,887,554,562,641,951,337,330
simGenes_1963,3532,3314,4020,3907,3355,2858,3561,2668
simGenes_1964,460,533,661,541,424,772,334,978
simGenes_1965,6632,6004,4896,6280,6928,5477,4236,5634
simGenes_1966,1095,935,962,1259,955,1347,1278,1350
simGenes_1967,327,139,637,413,322,261,342,264
simGenes_1968,580,779,851,492,651,680,730,652
simGenes_1969,493,517,510,657,511,552,428,591
simGenes_1970,722,906,915,851,300,321,434,308
simGenes_1971,2801,4482,3496,3344,3129,4367,3487,3170
simGenes_1972,2302,2589,3278,2220,2810,2192,1366,1421
simGenes_1973,4960,3956,3987,5353,4106,4156,5168,4384
simGenes_1974,3041,2515,2159,2552,1769,2653,2423,2757
simGenes_1975,22371,22449,22640,21225,21027,19450,21740,24356
simGenes_1976,1304,1977,1676,1877,1557,1724,2025,1846
simGenes_1977,232,231,228,175,326,209,353,314
simGenes_1978,1884,1854,2204,1626,973,1083,1088,2073
simGenes_1979,2168,2196,2556,1630,1301,1407,2154,2143
simGenes_1980,2511,3064,2539,2479,2721,3070,2767,2634
simGenes_1981,1406,1392,1356,1708,1283,1509,1324,1299
simGenes_1982,2381,3017,2767,2926,1651,1616,1945,1565
simGenes_1983,254,545,636,341,407,668,512,458
simGenes_1984,4631,4287,3618,3910,5054,4369,5037,4405
simGenes_1985,907,607,1208,981,377,470,749,500
simGenes_1986,2078,2073,2045,2282,2102,2424,2161,2421
simGenes_1987,1057,808,788,1120,853,1176,1079,1166
simGenes_1988,1506,1468,2438,1180,1965,1254,1143,1654
simGenes_1989,907,942,780,970,715,1004,887,946
simGenes_1990,1204,1218,1715,1853,1339,1786,1188,1570
simGenes_1991,2878,2705,2598,2500,2649,2501,2652,2532
simGenes_1992,1815,1322,1166,1689,1606,1413,2014,1932
simGenes_1993,3424,3307,3495,3618,4024,3862,2740,4187
simGenes_1994,7555,8793,7674,7431,7660,9633,8177,7214
simGenes_1995,6202,7603,4905,6309,6082,6594,6886,7441
simGenes_1996,588,724,786,765,801,756,579,698
simGenes_1997,1564,1477,1592,1524,1586,1521,1429,1467
simGenes_1998,1523,1378,2051,1683,1540,1688,1302,1313
simGenes_1999,629,615,548,550,535,526,595,571
simGenes_2000,3093,2454,3511,2491,2003,5116,1682,5331
simGenes_2001,3801,3643,4516,4716,4039,3267,4760,4909
simGenes_2002,4884,4995,5156,3880,4747,4250,4413,4404
simGenes_2003,1410,1332,1257,1355,1488,1533,1440,1702
simGenes_2004,2609,2965,1963,2084,1693,1849,1437,3227
simGenes_2005,1147,1039,1017,1249,1057,1016,1213,1119
simGenes_2006,118,200,168,156,154,176,179,180
simGenes_2007,4792,3933,3786,4999,3268,5201,5091,4607
simGenes_2008,1709,2260,1018,1577,2485,1089,1454,1666
simGenes_2009,1167,797,939,1605,1583,1849,996,1959
simGenes_2010,782,660,742,571,634,664,741,1035
simGenes_2011,8327,7827,6817,7195,7627,8103,7641,7788
simGenes_2012,8256,7724,8131,7591,8467,7532,7574,7647
simGenes_2013,741,617,850,742,920,1336,1228,1257
simGenes_2014,3631,4322,4348,3461,3509,4138,2872,3758
simGenes_2015,324,409,332,378,364,246,190,336
simGenes_2016,5620,5477,5449,5679,6140,6273,5715,5349
simGenes_2017,1623,1995,1508,1289,1301,1574,1374,1767
simGenes_2018,3914,4649,4573,3421,5285,3359,4618,5584
simGenes_2019,2886,1937,4402,5513,3376,1469,5639,5114
simGenes_2020,4140,3492,4064,3370,6104,7426,4984,4240
simGenes_2021,12983,12465,10671,12508,12200,11242,12705,12015
simGenes_2022,861,1635,1391,2070,1338,1502,1823,1319
simGenes_2023,188,235,240,227,226,242,213,236
simGenes_2024,1169,1536,1892,1729,1652,1242,1190,1349
simGenes_2025,1829,1085,1080,968,1028,1278,1286,1144
simGenes_2026,5408,5873,5297,5585,6780,6453,6203,5916
simGenes_2027,318,201,277,86,359,408,284,537
simGenes_2028,9167,9636,13502,10788,9374,9224,9122,9457
simGenes_2029,2914,2778,2958,2685,2898,3069,2981,2916
simGenes_2030,1230,1186,913,989,1085,1223,1271,1048
simGenes_2031,2038,2214,2035,1789,3181,3397,1504,3018
simGenes_2032,777,774,737,882,831,1115,821,756
simGenes_2033,694,696,668,666,678,707,678,670
simGenes_2034,1230,1672,764,807,892,954,397,1105
simGenes_2035,2144,1804,1475,1998,1651,1936,2015,3017
simGenes_2036,1130,1058,1392,1279,998,992,1245,1176
simGenes_2037,437,493,483,433,506,474,498,472
simGenes_2038,1272,2169,3554,1905,1000,1830,1827,2422
simGenes_2039,5396,6717,4948,5483,5770,6066,5771,6451
simGenes_2040,232,289,556,279,371,543,548,416
simGenes_2041,1546,1789,1478,1506,1469,1487,1648,1599
simGenes_2042,1127,943,1069,751,1035,1007,738,1094
simGenes_2043,1436,682,1001,777,504,554,496,610
simGenes_2044,1048,2325,1926,4930,1975,2482,2179,3972
simGenes_2045,3225,3122,2990,3323,3597,3786,3135,3261
simGenes_2046,5538,5459,5476,5410,4348,4983,4084,4121
simGenes_2047,4140,3637,4176,3994,1119,1290,1233,1522
simGenes_2048,731,544,523,790,801,561,804,701
simGenes_2049,237,203,424,523,581,377,449,227
simGenes_2050,2187,1160,2827,3838,3035,3327,3996,2242
simGenes_2051,29408,28767,31416,27232,27875,29889,24389,25725
simGenes_2052,1798,1814,1564,1654,1458,1725,1800,1586
simGenes_2053,11231,18153,12962,13179,15350,12273,13597,13372
simGenes_2054,16309,9540,12655,19833,8542,14899,18649,16162
simGenes_2055,1392,1689,900,1687,1078,1519,1714,1180
simGenes_2056,502,419,440,516,385,444,506,394
simGenes_2057,1367,1431,990,1005,1559,1262,901,1458
simGenes_2058,213,137,244,190,152,252,203,153
simGenes_2059,15071,17751,16952,17820,17595,19027,15894,17858
simGenes_2060,2219,2647,1985,1917,1976,2373,2010,2215
simGenes_2061,1648,2721,5176,3326,2509,3283,2753,3180
simGenes_2062,1055,1398,1646,1114,1910,1265,1366,1393
simGenes_2063,2600,2216,1750,2297,2049,2013,2291,2214
simGenes_2064,198,142,244,68,175,228,220,225
simGenes_2065,4997,4918,5062,4703,5279,4380,4771,4879
simGenes_2066,3279,2340,3322,1843,4601,2969,2916,2230
simGenes_2067,4098,3030,2986,3111,5156,4456,2457,3498
simGenes_2068,380,461,388,413,479,338,448,355
simGenes_2069,2154,2082,2142,2212,2283,2167,2102,2158
simGenes_2070,4144,4487,4460,3512,4365,3685,3959,4592
simGenes_2071,202,283,324,464,419,150,345,372
simGenes_2072,110,113,224,133,57,66,62,50
simGenes_2073,2419,1654,1750,1237,1980,2224,994,2169
simGenes_2074,382,438,296,266,182,185,147,175
simGenes_2075,104,136,176,131,77,107,145,123
simGenes_2076,12889,13139,13070,12773,12736,12419,12762,13251
simGenes_2077,2815,2871,2904,3290,3160,2641,3777,2825
simGenes_2078,29539,24451,20627,27875,31188,23045,25666,38090
simGenes_2079,584,882,851,853,1068,513,824,586
simGenes_2080,1837,1849,1672,1840,1863,1770,1927,1867
simGenes_2081,1110,1600,2572,1219,1526,1812,879,2460
simGenes_2082,43412,45244,46036,46732,33680,31429,32012,29061
simGenes_2083,693,594,649,550,705,775,836,660
simGenes_2084,433,583,618,525,568,632,475,457
simGenes_2085,436925,377925,401509,350974,1193018,1007150,1146535,1078607
simGenes_2086,3252,3236,4361,3923,8421,7486,5430,6800
simGenes_2087,25540,27367,29140,16133,13334,16415,15237,30222
simGenes_2088,2093,3114,2730,2857,4146,2642,4612,3159
simGenes_2089,1342,1287,1196,1551,2199,2508,2974,2356
simGenes_2090,1714,1645,1534,1776,1539,1533,1486,1601
simGenes_2091,1198,1083,1352,1360,1136,1286,1009,1100
simGenes_2092,969,617,639,1096,688,1005,1128,886
simGenes_2093,2003,1756,1648,1928,1875,1922,1797,1740
simGenes_2094,2864,2675,3066,2977,2506,2821,3373,2780
simGenes_2095,6366,7804,6665,7231,7957,6069,7325,4854
simGenes_2096,2683,3506,3343,2123,2829,2586,3455,2503
simGenes_2097,715,619,687,690,673,723,690,713
simGenes_2098,6943,7254,7072,8358,17271,17596,18027,16937
simGenes_2099,6617,5058,5761,4895,9278,3939,6870,7690
simGenes_2100,3177,2361,1457,1626,3233,2666,2100,2576
simGenes_2101,7847,6059,8686,6361,6748,6772,5188,8763
simGenes_2102,4478,5227,3809,5543,6283,5298,6598,5075
simGenes_2103,3837,3130,3881,3748,3242,3084,3283,3711
simGenes_2104,26380,25219,28079,27093,25754,28104,23937,25043
simGenes_2105,1978,2118,2312,1940,1720,1880,2027,2053
simGenes_2106,872,892,920,895,1044,913,1067,906
simGenes_2107,1524,1941,1793,1345,1350,1246,1661,1708
simGenes_2108,2786,2658,3053,4229,4024,2311,3097,3329
simGenes_2109,1997,1069,2074,1506,1897,1586,2152,1943
simGenes_2110,339,265,305,359,294,299,256,298
simGenes_2111,56,90,99,111,208,230,209,300
simGenes_2112,1748,2153,1990,1989,1701,1365,1420,2447
simGenes_2113,5520,5562,5826,6036,5605,5723,4860,5275
simGenes_2114,697,502,787,1034,482,456,463,444
simGenes_2115,1754,1183,2214,899,1886,1127,2404,2011
simGenes_2116,990,976,1068,1149,1009,1052,1308,923
simGenes_2117,25592,27487,26299,23598,26571,25434,26200,27258
simGenes_2118,1649,1678,1668,1640,1532,1637,1694,1536
simGenes_2119,33670,27603,28887,36163,26962,29983,32841,27409
simGenes_2120,715,687,636,791,820,525,735,596
simGenes_2121,2275,2385,2485,2224,2182,1997,2606,2111
simGenes_2122,1334,621,1063,1242,933,1283,1297,1484
simGenes_2123,781,758,941,868,1059,1117,910,930
simGenes_2124,2090,2150,2232,1857,1690,1559,1930,2264
simGenes_2125,1764,1802,1784,1645,1630,2068,1553,1518
simGenes_2126,8827,9151,8284,8849,8695,8600,8419,8101
simGenes_2127,4071,4427,4801,4255,3884,4484,3988,3658
simGenes_2128,637,485,108,82,205,460,254,333
simGenes_2129,2409,2010,2311,2120,2006,2297,2015,2276
simGenes_2130,134,100,78,271,89,166,215,170
simGenes_2131,84,117,101,93,32,51,45,47
simGenes_2132,852,862,519,479,829,554,935,644
simGenes_2133,437,446,440,427,406,394,416,422
simGenes_2134,2141,2022,1279,1614,1936,1614,2613,1240
simGenes_2135,154,247,219,447,594,144,336,406
simGenes_2136,2117,2387,2967,2975,2426,3102,2776,1967
simGenes_2137,7348,7277,6680,6489,6049,5502,5472,7431
simGenes_2138,745,695,995,572,625,536,759,833
simGenes_2139,883,849,919,859,683,850,785,1078
simGenes_2140,2374,1766,1807,2150,2458,2126,2203,2585
simGenes_2141,3381,3619,3401,3446,3232,3124,3505,3739
simGenes_2142,299,276,225,209,256,228,345,282
simGenes_2143,480,956,593,911,708,944,708,680
simGenes_2144,7410,6886,7237,6933,7061,7109,7251,7072
simGenes_2145,7347,5944,7468,7455,6217,6430,5793,6340
simGenes_2146,680,820,446,413,422,665,817,773
simGenes_2147,1656,1530,1621,1780,1456,1803,1949,1470
simGenes_2148,777,862,661,814,847,808,749,786
simGenes_2149,762,908,1580,1135,1290,822,701,1081
simGenes_2150,1229,1035,1275,1110,1124,1135,1151,1235
simGenes_2151,5293,4962,5669,4848,6510,6297,4590,4935
simGenes_2152,1157,1186,1204,1325,1211,1648,1338,1212
simGenes_2153,652,595,621,596,647,493,506,684
simGenes_2154,176,604,419,267,147,145,162,152
simGenes_2155,1459,1584,1397,1296,1209,1476,1448,1512
simGenes_2156,205,187,179,270,146,158,197,158
simGenes_2157,5386,4469,4899,5760,4947,5857,5638,6495
simGenes_2158,4189,4075,4109,4293,2642,3093,3109,3479
simGenes_2159,1034,982,1420,1363,1338,1205,1050,1387
simGenes_2160,855,843,746,697,377,335,402,337
simGenes_2161,1212,1211,1120,1289,1398,1212,1057,983
simGenes_2162,1997,1738,1452,1462,1382,1595,1480,1339
simGenes_2163,1778,2221,1784,1792,1867,2103,2197,1911
simGenes_2164,6910,7148,7539,8490,10288,11708,9692,9751
simGenes_2165,2219,2181,2978,2372,2810,2505,1949,2266
simGenes_2166,4684,6671,4001,5679,4408,3821,4494,3289
simGenes_2167,912,861,852,1005,571,828,600,800
simGenes_2168,1634,1790,1890,1593,1602,1832,1892,1889
simGenes_2169,8834,8995,9261,8991,9546,9021,9727,8686
simGenes_2170,2903,1258,1904,1754,4659,4519,4347,3897
simGenes_2171,327,462,516,451,274,501,354,553
simGenes_2172,2278,2859,2471,2187,3077,2794,2195,2596
simGenes_2173,1427,1427,1051,1386,1374,1135,1418,1113
simGenes_2174,2674,2774,2710,2793,2736,2768,2835,2904
simGenes_2175,1528,1798,1688,2739,1044,1318,1692,1631
simGenes_2176,1767,873,1349,2438,1001,1642,1377,1642
simGenes_2177,273,403,378,167,318,319,339,298
simGenes_2178,852,857,774,923,291,223,229,220
simGenes_2179,1016,1188,1094,1146,1167,979,1038,905
simGenes_2180,4449,4325,4231,4409,4468,5026,3940,4003
simGenes_2181,606,1681,1009,1300,2270,1137,3178,1138
simGenes_2182,569,423,271,193,373,576,272,606
simGenes_2183,416,681,741,527,232,279,295,186
simGenes_2184,206,165,276,224,207,111,342,188
simGenes_2185,397,330,330,469,434,319,205,241
simGenes_2186,920,822,997,966,785,857,845,971
simGenes_2187,1144,936,859,1124,1030,1337,657,1096
simGenes_2188,3026,2153,1054,2051,3311,1318,1812,5177
simGenes_2189,261,340,382,382,296,359,453,257
simGenes_2190,1594,1187,1389,1673,1622,1461,1147,1423
simGenes_2191,661,687,754,658,789,739,718,929
simGenes_2192,6819,8641,6376,7019,6836,5941,4301,4817
simGenes_2193,398,411,422,408,1059,1129,1168,1069
simGenes_2194,288,592,307,315,443,340,600,194
simGenes_2195,706,627,752,761,346,456,443,315
simGenes_2196,2513,2045,2114,2864,2483,1712,2599,1774
simGenes_2197,1100,667,793,1029,829,745,675,693
simGenes_2198,868,813,836,687,677,898,1560,855
simGenes_2199,153,139,115,197,220,157,234,172
simGenes_2200,2537,581,1505,1769,373,890,787,1732
simGenes_2201,1032,2501,1882,1895,1332,2064,2099,2045
simGenes_2202,926,1009,883,812,1011,780,959,1025
simGenes_2203,1635,1777,2605,2193,2607,2239,1599,2491
simGenes_2204,366,375,271,274,378,321,412,377
simGenes_2205,388,469,396,443,248,445,278,98
simGenes_2206,2287,2120,3345,1996,2390,2228,2599,2270
simGenes_2207,4270,3475,3524,1489,2071,2955,2550,1809
simGenes_2208,306,357,134,743,363,346,225,246
simGenes_2209,5251,4620,4958,5515,3418,5333,6444,5307
simGenes_2210,1797,1729,1810,1752,829,305,708,879
simGenes_2211,1489,1861,1397,1059,1430,1559,1250,1085
simGenes_2212,89,103,149,166,106,138,131,151
simGenes_2213,5172,6391,7337,6721,5092,5161,7561,5388
simGenes_2214,1234,803,1224,1311,1172,1405,1419,830
simGenes_2215,3509,3529,3265,3266,3324,2984,3892,3893
simGenes_2216,1566,1432,1965,1417,2019,1914,2109,1816
simGenes_2217,842,455,940,343,353,554,515,697
simGenes_2218,431,402,457,426,900,884,1228,782
simGenes_2219,9336,11239,13254,9367,8537,8448,13672,10376
simGenes_2220,455,462,553,569,615,574,500,580
simGenes_2221,620,668,459,563,520,486,537,498
simGenes_2222,2720,2721,2570,2575,2498,2578,2701,2633
simGenes_2223,3619,4519,3802,3408,3773,3713,3838,3414
simGenes_2224,445,517,448,503,620,542,369,407
simGenes_2225,665,603,471,664,429,582,441,656
simGenes_2226,2945,2653,3075,2662,2502,2673,2421,2882
simGenes_2227,5009,6590,4453,6613,5312,5768,6842,5062
simGenes_2228,6276,7077,5351,3991,3662,4519,5319,2884
simGenes_2229,1460,1593,1642,1637,1665,1688,1807,1534
simGenes_2230,3791,3977,3664,4167,3055,3432,3904,3482
simGenes_2231,993,950,1141,1222,920,1179,390,1096
simGenes_2232,367,363,481,368,579,593,675,265
simGenes_2233,1309,647,769,902,755,1288,870,975
simGenes_2234,515,533,417,284,465,230,392,541
simGenes_2235,2431,2530,2391,2649,2488,2602,2620,2495
simGenes_2236,4526,4346,5619,4626,2038,1692,1951,1872
simGenes_2237,384,465,471,432,320,639,377,228
simGenes_2238,1538,1900,1762,1715,758,1278,1183,1485
simGenes_2239,3785,3565,3632,3740,1821,1456,1931,2180
simGenes_2240,187,107,112,165,269,265,152,219
simGenes_2241,626,550,406,318,337,346,677,319
simGenes_2242,3729,3964,4439,4629,3865,2908,3001,3969
simGenes_2243,867,624,546,480,742,255,665,568
simGenes_2244,621,1196,1233,1515,1598,1903,697,1358
simGenes_2245,3391,2176,2316,1916,2242,2784,2135,2063
simGenes_2246,2631,1690,1373,1373,3711,3230,4228,4035
simGenes_2247,722,569,790,766,697,629,525,733
simGenes_2248,1828,1820,1791,1894,1998,1771,1845,1804
simGenes_2249,7559,9375,8887,7655,7406,8289,8540,8173
simGenes_2250,607,1628,821,355,1339,366,962,689
simGenes_2251,1186,1225,1290,1398,1874,1807,1968,1054
simGenes_2252,335,289,361,356,336,355,238,397
simGenes_2253,2409,1808,3113,2781,3326,2274,2597,1598
simGenes_2254,4149,3960,4275,4173,3989,4084,4250,3501
simGenes_2255,1889,2314,2232,1933,1966,2096,2464,1943
simGenes_2256,2671,2833,3387,3271,2563,2694,2067,3153
simGenes_2257,844,699,940,866,888,740,827,992
simGenes_2258,5482,4780,4476,5065,8586,11124,6644,5784
simGenes_2259,1124,772,1066,1193,1202,972,1307,900
simGenes_2260,10347,7738,10307,10040,19487,17379,17919,20819
simGenes_2261,14606,15950,18345,13163,12900,12639,9968,12938
simGenes_2262,5811,6543,4486,5419,4649,6515,5367,5548
simGenes_2263,69,104,119,79,119,70,103,149
simGenes_2264,156,203,371,198,148,117,93,90
simGenes_2265,3397,2700,1752,2905,2324,2480,2451,2036
simGenes_2266,10861,9851,10880,10173,11382,10539,12420,10843
simGenes_2267,2084,2041,2271,1752,1904,1719,1722,2053
simGenes_2268,4740,5094,4382,4428,5268,4519,5250,4465
simGenes_2269,9773,15125,8933,10810,10463,8910,10672,9951
simGenes_2270,2397,5034,3790,2928,4122,2884,4280,2939
simGenes_2271,967,1005,750,1077,1235,730,935,896
simGenes_2272,6564,5780,7785,7804,5662,6755,8117,6664
simGenes_2273,530,408,682,698,1110,650,932,780
simGenes_2274,1043,990,837,1315,1147,737,863,970
simGenes_2275,564,591,456,447,699,496,460,599
simGenes_2276,233,218,181,424,56,216,368,286
simGenes_2277,607,1111,590,748,557,801,576,664
simGenes_2278,4436,4645,4468,4519,3238,4323,2995,4470
simGenes_2279,438,391,287,313,308,302,251,375
simGenes_2280,632,1094,444,796,999,808,953,785
simGenes_2281,854,1177,1056,1128,970,917,959,1017
simGenes_2282,1896,2420,2853,2506,2279,2385,2612,2227
simGenes_2283,737,918,848,868,724,822,779,669
simGenes_2284,1566,1196,1363,1436,1527,1631,1473,1461
simGenes_2285,944,1173,1226,1867,1677,1503,980,1250
simGenes_2286,254,287,397,268,611,348,652,309
simGenes_2287,734,1106,1080,1039,1015,976,991,1054
simGenes_2288,1564,1683,1567,1416,1607,1746,1537,1709
simGenes_2289,463,464,613,528,559,501,509,446
simGenes_2290,704,703,745,743,533,670,813,720
simGenes_2291,21228,25824,26618,17283,77038,71666,72167,76590
simGenes_2292,240,276,257,159,229,242,239,227
simGenes_2293,19349,9804,7938,16397,12334,11645,10147,18889
simGenes_2294,959,1013,1434,1061,1093,514,393,443
simGenes_2295,1052,973,1033,1009,505,263,467,520
simGenes_2296,1486,1312,603,1045,1055,1024,943,514
simGenes_2297,4254,2602,2972,1829,1149,1365,2015,1913
simGenes_2298,743,666,675,742,704,724,708,641
simGenes_2299,171,199,167,177,214,221,211,221
simGenes_2300,561,546,608,546,572,475,563,483
simGenes_2301,856,782,1022,1017,978,1031,663,972
simGenes_2302,180,43,91,62,125,59,92,113
simGenes_2303,3234,3551,3100,2983,3074,3350,3528,3088
simGenes_2304,1043,1386,1191,1226,1472,1467,1332,1145
simGenes_2305,360,194,193,166,65,301,115,208
simGenes_2306,1570,1532,1861,1351,1272,1259,1298,1404
simGenes_2307,110,92,338,140,220,227,63,109
simGenes_2308,6686,5101,6584,7456,5947,7327,4273,5981
simGenes_2309,1134,1050,1160,1702,957,1118,1129,1052
simGenes_2310,2402,2238,2541,2379,4013,4542,4835,4285
simGenes_2311,1799,1915,1792,2230,1852,1591,2001,1930
simGenes_2312,1742,4804,4448,2489,3879,5083,3561,2447
simGenes_2313,149,188,213,167,151,151,140,181
simGenes_2314,2206,2649,2924,3064,2018,2769,1948,2881
simGenes_2315,2310,2425,1758,1777,342,540,1068,652
simGenes_2316,877,1287,2082,1087,1031,1758,1427,489
simGenes_2317,290,245,222,248,406,281,262,421
simGenes_2318,1913,1989,2064,2025,1969,2085,1822,2124
simGenes_2319,1830,2123,2005,2211,2255,1925,2313,1809
simGenes_2320,10227,12340,7273,8188,7173,8074,12222,6843
simGenes_2321,5075,4214,4026,4216,4291,4149,3792,3807
simGenes_2322,528,619,588,496,541,509,818,867
simGenes_2323,715,839,869,757,1269,749,499,700
simGenes_2324,989,818,1000,1150,1195,1090,884,801
simGenes_2325,6523,7126,8484,7737,4708,8162,7572,5614
simGenes_2326,412,1273,641,542,998,1076,1124,1219
simGenes_2327,4506,4350,4136,3566,2332,3447,4735,2867
simGenes_2328,711,464,2029,565,1111,1603,1102,890
simGenes_2329,5386,5773,6273,5380,5375,6149,5193,5543
simGenes_2330,102,135,111,140,46,65,49,55
simGenes_2331,1027,1152,1103,1047,1264,1059,1248,1199
simGenes_2332,495,686,994,969,907,792,697,688
simGenes_2333,250,314,304,181,339,291,352,425
simGenes_2334,480,412,428,493,409,524,542,441
simGenes_2335,1416,2198,915,1208,1172,1288,1862,1036
simGenes_2336,1059,1105,961,971,1091,814,998,1001
simGenes_2337,563,632,563,578,532,547,492,644
simGenes_2338,3501,2712,4872,4892,2526,2914,4627,2617
simGenes_2339,5987,6391,6828,8856,7786,6959,6868,7535
simGenes_2340,415,307,347,328,299,417,315,391
simGenes_2341,988,815,928,1024,1142,1145,1324,843
simGenes_2342,1846,1562,1321,1795,1715,1549,1889,1757
simGenes_2343,3125,4429,4836,2655,3585,3822,3394,5028
simGenes_2344,2663,2575,2085,2318,2505,2839,2067,1802
simGenes_2345,2933,3241,3419,3391,3597,3014,4418,3411
simGenes_2346,2784,1731,1539,2383,1948,1717,1173,1256
simGenes_2347,1499,940,2087,1522,918,1649,1078,1032
simGenes_2348,1015,1065,1099,1237,1475,933,1269,1164
simGenes_2349,1201,1201,1301,1406,1284,1204,1259,1263
simGenes_2350,974,1146,972,1021,1142,863,1333,1070
simGenes_2351,1911,2078,1927,2713,2226,2001,1744,2031
simGenes_2352,1483,1591,1471,1541,246,484,494,781
simGenes_2353,2626,3407,503,2742,2761,3320,1292,1074
simGenes_2354,2342,1901,2706,2019,2321,4663,3059,1911
simGenes_2355,160,233,143,130,118,109,146,71
simGenes_2356,438,392,327,504,549,374,453,397
simGenes_2357,4017,3441,5951,4814,7262,4393,3262,4781
simGenes_2358,1361,1421,1509,1464,4640,4191,4086,4286
simGenes_2359,2811,2950,2708,3024,3217,2724,3146,2791
simGenes_2360,1779,1973,2416,1184,1736,2077,1388,1461
simGenes_2361,783,578,852,787,710,778,904,963
simGenes_2362,1191,944,1369,1720,1367,1373,1474,1530
simGenes_2363,169,190,159,180,159,135,124,176
simGenes_2364,7218,6286,6023,5559,9692,10228,12761,10585
simGenes_2365,1712,2107,2045,1659,1603,1922,1804,1725
simGenes_2366,2969,3112,3244,2427,2681,3624,2424,3530
simGenes_2367,5870,5942,5349,5448,5556,5671,5408,5920
simGenes_2368,2090,1982,2434,1717,2164,2110,1713,1620
simGenes_2369,813,992,696,889,2190,1705,1621,2088
simGenes_2370,206,297,213,264,210,219,215,235
simGenes_2371,163,165,249,170,163,150,174,164
simGenes_2372,334,387,334,340,390,622,835,694
simGenes_2373,3155,2751,1784,2774,2466,2094,2597,1758
simGenes_2374,1734,1480,1056,1070,628,1054,909,845
simGenes_2375,7275,7937,7494,7539,7066,6654,8523,8049
simGenes_2376,3924,4393,1320,3007,1927,1471,1433,1395
simGenes_2377,4143,3794,4229,3009,3742,3391,3817,3775
simGenes_2378,939,1199,801,700,960,1072,1129,899
simGenes_2379,4724,6681,6471,3103,5087,9857,4329,4778
simGenes_2380,710,758,773,713,1018,709,1092,929
simGenes_2381,2256,2590,2273,2503,2303,2223,2385,2387
simGenes_2382,1572,1945,1099,3055,2801,3458,1766,2243
simGenes_2383,4409,4643,4826,4339,4270,4760,4647,4371
simGenes_2384,4041,3613,3503,3497,3560,3817,3666,3367
simGenes_2385,696,721,821,653,280,181,124,257
simGenes_2386,4169,2192,3547,4568,3238,3120,3725,3795
simGenes_2387,3692,4969,5021,5263,4188,4195,4188,4406
simGenes_2388,143,147,185,205,177,341,99,179
simGenes_2389,3774,1569,3030,2468,5107,5433,5448,6095
simGenes_2390,6639,5738,7087,6772,9023,10016,8851,10851
simGenes_2391,995,933,987,514,839,1016,1106,1112
simGenes_2392,605,526,680,525,533,911,461,912
